,Restaurant ID,Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
0,PR0160774,HABITAT COFFEE SHOP,3708 N EAGLE ROCK BLVD,LOS ANGELES,CA,90065,95,A
1,PR0193026,REILLY'S,100 WORLD WAY # 120,LOS ANGELES,CA,90045,92,A
2,PR0179282,STREET CHURROS,6801 HOLLYWOOD BLVD # 253,LOS ANGELES,CA,90028,93,A
3,PR0044776,RIO GENTLEMANS CLUB,13124 S FIGUEROA ST,LOS ANGELES,CA,90064,93,A
4,PR0017456,LE PAIN QUOTIDIEN,13050 SAN VICENTE BLVD STE 114,LOS ANGELES,CA,90049,93,A
5,PR0201836,TRINITI ECHO PARK,1814 W SUNSET BLVD,LOS ANGELES,CA,90026,94,A
6,PR0010572,MARCE'S MINI MARKET,4160 S AVALON BLVD,LOS ANGELES,CA,90011,96,A
7,PR0202148,POLLEN,2100 ECHO PARK AVE,LOS ANGELES,CA,90026,94,A
8,PR0193589,THE SPOT GRILL,10004 NATIONAL BLVD,LOS ANGELES,CA,90034,93,A
9,PR0192029,7 ELEVEN #37215A,3330 W FLORENCE AVE,LOS ANGELES,CA,90043,95,A
10,PR0181243,CPK,100 WORLD WAY # 126,LOS ANGELES,CA,90045,91,A
11,PR0146202,SMOKE & MORE,10714 S WESTERN AVE #105,LOS ANGELES,CA,90047,97,A
12,PR0197670,PHO LALA,3500 W 6TH ST STE 226,LOS ANGELES,CA,90020,95,A
13,PR0045001,ABC DONUTS,3027 N SAN FERNANDO RD UNIT 103,LOS ANGELES,CA,90065,91,A
14,PR0122211,UPSTAIRS,3707 N CAHUENGA BLVD,LOS ANGELES,CA,91604,95,A
15,PR0028596,EL POLLO LOCO,5319 W SUNSET BLVD,LOS ANGELES,CA,90027,97,A
16,PR0036485,POONG NYUN BAKERY,928 S WESTERN AVE STE 109,LOS ANGELES,CA,90006,95,A
17,PR0156947,CO CO FRESH TEA & JUICE,10912 LE CONTE AVE,LOS ANGELES,CA,90024,91,A
18,PR0045798,LA SIRENA FISH MARKET,4226 E OLYMPIC BLVD,LOS ANGELES,CA,90023,98,A
19,PR0012601,MON AMOUR CAFE,927 BROXTON AVE,LOS ANGELES,CA,90024,90,A
20,PR0018808,SPECIALTY'S CAFE & BAKERY,2121 AVE OF STARS STE #100,LOS ANGELES,CA,90067,94,A
21,PR0151290,EMC RESTAURANT GROUP LLC,3500 W 6TH ST STE 101,LOS ANGELES,CA,90020,90,A
22,PR0046358,POPULAR DONUTS,3614 W SLAUSON AVE,LOS ANGELES,CA,90043,90,A
23,PR0123010,CUSCATLECA BAKERY,2501 W SUNSET BLVD #A,LOS ANGELES,CA,90026,92,A
24,PR0175073,CASA CHOCOLATE CAFE PICFAIR,5450 W PICO BLVD # 105,LOS ANGELES,CA,90019,91,A
