,restaurant,restaurant_id,rating,text,time_created
0,Prince Street Pizza,NmyEFw_9tKeHarAiUvtF3w,5,"Prince St is pizza on steroids! My 1st bite was in NYC 2013 (their rookie year), and my life changed ever since.

Fast forward to 2020, and they are now a...",2020-12-14 01:05:27
1,Prince Street Pizza,NmyEFw_9tKeHarAiUvtF3w,5,"PSP finally comes to LA to much fanfare and lines. A NY staple, PSP specializes in their Spicy Spring and Madhappy pies but also have a variety of others...",2020-12-11 09:13:11
2,Prince Street Pizza,NmyEFw_9tKeHarAiUvtF3w,5,"Okay so when you get here, EXPECT a long line. If you come here not expecting to wait, then getting upset because the line is taking too long, please don't...",2020-12-08 21:15:02
3,Running Goose,RVbZaawgEGmto6TxOoVBdQ,5,"Simply amazing! This place is everything to me right now! Pre covid they still had a very similar vibe and it has always been very clean, so I am very happy...",2020-11-05 21:00:41
4,Running Goose,RVbZaawgEGmto6TxOoVBdQ,5,We went here randomly after we put our name in at Mama Shelter and after we were pierced at Body Electric. OMG this place was yummy!! I am so happy we found...,2020-07-15 20:36:23
5,Running Goose,RVbZaawgEGmto6TxOoVBdQ,5,"Note that there seems to be a barebones number of staff working at Runining Goose currently, so it may be difficult to contact them during peak hours for...",2020-08-05 23:17:26
6,Howlin' Ray's,7O1ORGY36A-2aIENyaJWPg,5,Quite clear that the consensus is that the addicting red seasoning paste here makes this chicken sandwich the hottest in town. The fragrant skin soaked with...,2020-12-04 01:39:02
7,Howlin' Ray's,7O1ORGY36A-2aIENyaJWPg,5,"My last review was about 3 years ago, let's do a COVID edition!

Howlin' Rays is a shared experience. Every time I order it, I always to order it for my...",2020-12-04 19:20:01
8,Howlin' Ray's,7O1ORGY36A-2aIENyaJWPg,5,Well what more can I add? Besides the fact that it took me years to finally try the best fried chicken sando  on the west coast. One of the few ways I can...,2020-11-24 16:56:59
9,Republique,z0zaCVA-p_5xTsyUZrmR0g,5,"Republique never disappoints! It's one of my top picks for brunches in LA, always top notch food and beautiful, instagrammable photos to complement the...",2020-12-11 17:17:02
10,Republique,z0zaCVA-p_5xTsyUZrmR0g,5,"Best bakery spot in LA, hands down.

Marg Manzke really knows her stuff!! Having been to Paris and tried authentic French pastries, her baked goods can...",2020-12-02 04:50:17
11,Republique,z0zaCVA-p_5xTsyUZrmR0g,5,Still a delicious brunch when eaten at home! Their take home set menus are an awesome deal (~$64 +taxes and fees for two). They charge a 16% service fee on...,2020-12-13 14:54:21
12,Dave's Hot Chicken,6i7KnRylm4bhPIApDFSVCg,5,"wowwowowww. first off, how did I not know about this place sooner? Well I knew about it, but I always held off trying it. LA is saturated with hot chicken...",2020-12-10 11:47:57
13,Dave's Hot Chicken,6i7KnRylm4bhPIApDFSVCg,5,"UHM YUM.  If you've never hopped on this chicken eating trend let me tell you, you need to! Speaking from first hand experience. 

Food - amazing. I got a...",2020-10-27 10:20:20
14,Dave's Hot Chicken,6i7KnRylm4bhPIApDFSVCg,5,"Dave's Hot Chicken has cemented itself as a Los Angeles staple for hot chicken. I ordered the ""Tenders With Fries"" and the ""Sliders With Fries"", in medium...",2020-12-12 12:39:55
15,Wurstküche,KQBGm5G8IDkE8LeNY45mbA,5,So far this probably one of the safest restaurants I've been to in Los Angeles. With stricter ordinances kicking in around California it's been difficult...,2020-12-14 08:57:03
16,Wurstküche,KQBGm5G8IDkE8LeNY45mbA,5,I cannot believe I have not rated this place. This is a level up from hot dogs. They have so many different variations and options. There's something here...,2020-11-18 16:55:13
17,Wurstküche,KQBGm5G8IDkE8LeNY45mbA,5,"If you love hot dogs and want to level up, Wurstkuche is the place! 

Covid precautions: 5/5
Everyone is required to wear a mask. All the staff members and...",2020-10-23 20:28:30
18,Bao Dim Sum House,kdTFcDSl9vAR-btEm1Q2uw,5,"This place is without a doubt now my go to spot with my mom.

My mother was craving Chinese food (not Panda Express) as she stated but authentic. I wasn't...",2020-11-14 19:54:53
19,Bao Dim Sum House,kdTFcDSl9vAR-btEm1Q2uw,5,HOLY MOLY. I first wanna thank Jaz for being such an amazing waitress/host she was really nice and very helpful. From a COVID standpoint they do contact...,2020-11-11 21:12:01
20,Bao Dim Sum House,kdTFcDSl9vAR-btEm1Q2uw,5,"I agree with the other reviewers here. This was a really cool place and love the food. We ordered dimsum, siomai, shrimp crystals, pork bun steamed and...",2020-10-17 16:46:41
21,Carousel Restaurant,Z57u3vyjkRiO5yIOkmGRNA,5,"Our favorite Armenian restaurant of all time - been coming here for years and years and have yet to find its equal.

And as you'd expect from the cuisine,...",2020-11-29 17:12:24
