,id,name,overall_rating,review_count,address,city,state,zip
0,NmyEFw_9tKeHarAiUvtF3w,Prince Street Pizza,4.5,157,9161 Sunset Blvd,West Hollywood,CA,90069
1,RVbZaawgEGmto6TxOoVBdQ,Running Goose,4.5,1078,1620 N Cahuenga Blvd,Los Angeles,CA,90028
2,7O1ORGY36A-2aIENyaJWPg,Howlin' Ray's,4.5,6577,727 N Broadway,Los Angeles,CA,90012
3,z0zaCVA-p_5xTsyUZrmR0g,Republique,4.0,5618,624 S La Brea Ave,Los Angeles,CA,90036
4,6i7KnRylm4bhPIApDFSVCg,Dave's Hot Chicken,4.5,3361,970 N Western Ave,Los Angeles,CA,90029
5,KQBGm5G8IDkE8LeNY45mbA,Wurstküche,4.0,8434,800 E 3rd St,Los Angeles,CA,90013
6,kdTFcDSl9vAR-btEm1Q2uw,Bao Dim Sum House,4.0,3007,8256 Beverly Blvd,Los Angeles,CA,90048
7,Z57u3vyjkRiO5yIOkmGRNA,Carousel Restaurant,4.5,749,5112 Hollywood Blvd,Los Angeles,CA,90027
8,ldFmjtF8VzOdzvn-Emn_TQ,Nativo,5.0,21,5137 York Blvd,Los Angeles,CA,90042
9,K-Fbh2WCHlqR56H9TnfpNA,Perch,4.0,8052,448 S Hill St,Los Angeles,CA,90013
10,h1R2iKYdm2lwukzMJvJqDw,Hangari Kalguksu,4.5,1714,3470 W 6th St,Los Angeles,CA,90020
11,GbAZbcCR969hfa4kCQqRcw,Eat This Cafe,4.5,1264,6547 Santa Monica Blvd,Los Angeles,CA,90038
12,qCJ2LFfNbXYBIcjXNva1cA,Langer's Delicatessen,4.5,3826,704 S Alvarado St,Los Angeles,CA,90057
13,SLxKy00itrk-ta8r8zCzTA,Easy Street Burgers,4.5,113,1000 N Western Ave,Los Angeles,CA,90029
14,0z23Jk7U_MpvtqKINPL2fA,Dirt Dog,4.5,2238,2528 S Figueroa St,Los Angeles,CA,90007
15,CcqraT0cuGKYEcZ1ri_kxg,BROKEN MOUTH | Lee's Homestyle,5.0,904,231 E 9th St,Los Angeles,CA,90015
16,rr-hXB0ZqXLzUP97yftp0g,Osteria Mamma,4.0,1646,5732 Melrose Ave,Los Angeles,CA,90038
17,AIhWsp8yNfKZfaX9d9Yajg,Pasta Sisters,4.5,1545,3343 W Pico Blvd,Los Angeles,CA,90019
18,IzRINfSLBr6k_dq1e2WNew,Guelaguetza Restaurante,4.0,2318,3014 W Olympic Blvd,Los Angeles,CA,90006
19,drtTr9Mxv4mv_AjZ4gvq5A,Pink's Hot Dogs,3.5,7154,709 N La Brea Ave,Los Angeles,CA,90038
20,vdA6RxwC8wrCrza0FSAt-w,Papi Tacos & Churros,4.0,418,2622 W Jefferson Blvd,Los Angeles,CA,90018
21,DrToq9357afdpOyO5w0Y5w,Yup Dduk LA,4.5,2071,3603 W 6th St,Los Angeles,CA,90020
22,qCrSlf_TSVxITOYIBXGdJQ,Cannabis Cafe,3.5,676,1201 N La Brea Ave,West Hollywood,CA,90038
