,restaurant,restaurant_id,rating,text,time_created
0,Running Goose,RVbZaawgEGmto6TxOoVBdQ,5,"Three things standout when you dine at this place ambience, food, and service. Three things that make the experience wonderful.

Ambience although common...",2019-04-07 03:01:05
1,Running Goose,RVbZaawgEGmto6TxOoVBdQ,3,"I really liked the environment and decor of the restaurant. The outdoor seating had a casual romantic ambiance. Great for dates!

However the food felt...",2019-04-04 21:40:15
2,Running Goose,RVbZaawgEGmto6TxOoVBdQ,5,"Yes, yes, yes! One of my favorite things is getting a bunch of different things and having a few bites of it all and a tapas place really lets you do...",2019-04-04 15:28:44
3,Bestia,fEY0zHaDMfIW3-N__joDKQ,5,"I was overwhelming impressed by the food and service at Bestia. Quickly after getting seated by the host, our server greeted us in the most calming and...",2019-04-09 17:10:07
4,Bestia,fEY0zHaDMfIW3-N__joDKQ,3,"I've always wanted to try this place because all my friend have been raving about it. Also, reservations need to be made months in advance to get a spot...",2019-04-09 13:59:39
5,Bestia,fEY0zHaDMfIW3-N__joDKQ,5,"5/5! Cannot recommend this place enough and have gabbed about to anyone who will listen to me!

My friend and I stopped in a couple of weeks ago to...",2019-04-08 16:46:35
6,The Morrison,DJek3FUewBzMc0gS-Gms9w,5,My family really enjoyed our meal here. Love the atmosphere and the establishment does a great job of making kids feel welcome in a place that traditionally...,2019-04-05 07:28:21
7,The Morrison,DJek3FUewBzMc0gS-Gms9w,4,"I was looking for the best restaurant in Atwater Village on yelp and the Morrison was the top hit with 4,000+ reviews and a 4.5 star rating. That's pretty...",2019-04-09 08:01:58
8,The Morrison,DJek3FUewBzMc0gS-Gms9w,5,The Morrison consistently serves excellently executed bar food with terrific service. Even simple things like the french fries are done with care.  The...,2019-04-02 12:56:00
9,Howlin' Ray's,7O1ORGY36A-2aIENyaJWPg,5,"This place is worth it. The wait is long, be prepared (bring a snack). The restaurant itself is small, but if you can sit inside DO IT! We got to sit at the...",2019-04-07 07:46:44
10,Howlin' Ray's,7O1ORGY36A-2aIENyaJWPg,4,"Okay... 

Lets get this straight. NOTHING on this planet taste that good that is worth a two hour wait. Absolutely nothing. and Howlin Ray's in my opinion...",2019-04-09 17:50:06
11,Howlin' Ray's,7O1ORGY36A-2aIENyaJWPg,5,"If you do not appreciate and enjoy unhealthy, deep fried, greasy, and powdery foods, this place is not for you!!! I wondered how amazing a chicken sandwich...",2019-04-05 14:55:22
12,République,z0zaCVA-p_5xTsyUZrmR0g,5,"This is one of the better brunch places in LA. I honestly think the food is amazing in LA but hard to find breakfast/brunch that really stands out. 

Me and...",2019-04-09 17:46:55
13,République,z0zaCVA-p_5xTsyUZrmR0g,5,"Every time I eat here it makes me so happy- which is why I go on my birthday every year!
Some complain about parking,  but there's valet and street (and a...",2019-04-06 22:04:03
14,République,z0zaCVA-p_5xTsyUZrmR0g,5,"If anyone ever suggests going here, I'm always IN! This is one of the most delicious spots you can have for brunch and/or lunch in LA, notwithstanding the...",2019-04-03 11:43:46
15,Din Tai Fung,GPGSBlT_Qivav8vH_d2yOg,5,"Definitely order braised beef noodle soup and pork xlb (both $11.50).

BRAISED BEEF NOODLE SOUP (5/5)- best I've ever tasted (and I'm from Houston). Broth...",2019-04-08 07:31:33
16,Din Tai Fung,GPGSBlT_Qivav8vH_d2yOg,5,"TAIWAN IN CENTURY CITY
After Eataly my favorite eatery in Century City
I love the tofu glass noodle soup ~ seaweed tofu appetizer vegetarian noodles and...",2019-04-07 19:48:01
17,Din Tai Fung,GPGSBlT_Qivav8vH_d2yOg,5,"Wow wow wow. I've been wanting to try this place for a couple of years now, and I finally got the chance to after visiting Cali in March. This place was...",2019-04-06 08:39:41
18,Yup Dduk La,DrToq9357afdpOyO5w0Y5w,5,"I don't understand how a mild can be so very spicy. I'm not creative enough to imagine how painful the original might be, but if you're lucky enough to be...",2019-04-06 13:17:00
19,Yup Dduk La,DrToq9357afdpOyO5w0Y5w,2,"After too much shopping and walking, crashed again mid-day, took a nap, then decided to have dinner way-late.

Decided to just walk across my hotel to this...",2019-04-08 23:50:43
20,Yup Dduk La,DrToq9357afdpOyO5w0Y5w,5,Spicy delicious goodness in my mouth. Satisfying burn after every bite was what I needed in my short 3 day LA trip. Our timing upon arrival was perfect...,2019-04-03 14:10:17
21,Bao Dim Sum House,kdTFcDSl9vAR-btEm1Q2uw,5,"I'm not Asian but this place seemed pretty cool. There were many Chinese patron,  overall mixed crowd. 

I love the fact that they have pictures for all the...",2019-03-30 09:12:15
22,Bao Dim Sum House,kdTFcDSl9vAR-btEm1Q2uw,3,"I've been meaning to try this place forever and my bf brought me here for dinner a couple weeks ago.

The decor is super cheesy, like a Chinese restaurant...",2019-04-08 13:14:26
23,Bao Dim Sum House,kdTFcDSl9vAR-btEm1Q2uw,4,Loved this place. Came here hung over one day and snagged two seats at the bar. While I usually prefer dim sum with the carts this place is great. The food...,2019-04-04 21:32:51
24,Dave's Hot Chicken,6i7KnRylm4bhPIApDFSVCg,5,"This place will satisfy your chicken cravings - you know the ones. If you like spice, it can satisfy those too. 

Expect a line (and a food coma afterwards...",2019-04-07 09:42:06
25,Dave's Hot Chicken,6i7KnRylm4bhPIApDFSVCg,5,"Worth the hype!!! I love chicken and I love spice!
I love spicy chicken!!! This place is top notch juicy crispy chicken with stages of spice for all levels....",2019-04-05 19:35:51
26,Dave's Hot Chicken,6i7KnRylm4bhPIApDFSVCg,4,Dave's is great. This much is obvious because of the line that you'll no doubt run into when you get here. Be prepared to wait for a bit (or more than a...,2019-04-05 17:23:38
27,Genwa Korean BBQ,KtEMG1Aln3vQzte92QJxlw,5,"I love this place. There are so many panchans. Since my hubby is korean, he's pretty picky about the quality of meat we get at korean barbecues. He was very...",2019-04-09 10:10:34
28,Genwa Korean BBQ,KtEMG1Aln3vQzte92QJxlw,3,"I went there for celebrating my birthday with 7 of my friends and we all feel that the quod services go downtown quite a lot.

First of all, they talked us...",2019-04-08 22:54:59
29,Genwa Korean BBQ,KtEMG1Aln3vQzte92QJxlw,4,"This was a different experience for me. My friends and I eat Korean bbq often but we've never eaten at a place like this. To start, everything on the menu...",2019-03-20 21:36:27
30,Marugame Monzo,fxeuGYnoRWwm5aGDg1FRJA,5,"This is by far my favorite restaurant in Little Tokyo.

Uni Udon (5/5) - I don't consider myself an enthusiast for seafood but now I am excited to try more...",2019-04-09 13:33:36
31,Marugame Monzo,fxeuGYnoRWwm5aGDg1FRJA,4,I would have never thought of having a bolognese udon...oh man...this is the first time I ever had an Italian Japanese fusion that actually worked. I see...,2019-04-09 17:04:07
32,Marugame Monzo,fxeuGYnoRWwm5aGDg1FRJA,4,This place has some solid udon noodles. Its especially cool cause you can see them make it fresh in the kitchen! However I gave it a four out of five...,2019-04-03 15:30:27
33,Kang Ho-dong Baekjeong,qAAoilHU25Qr45FOQlA19g,5,"This place definitely lives up to the hype! 

My personal standard for Korean BBQ is Quarters, but this place gives them a run for their money.

Much like...",2019-04-08 12:27:40
34,Kang Ho-dong Baekjeong,qAAoilHU25Qr45FOQlA19g,3,"The food here is pretty good but in terms of the  meat quality offered, there are many better options in LA.

If you come in here with the mind to munch on...",2019-04-08 23:08:18
35,Kang Ho-dong Baekjeong,qAAoilHU25Qr45FOQlA19g,4,The location is a little difficult to find. The valet parking is forbthe entire complex but since the square has many businesses it gets full pretty fast....,2019-04-08 20:13:45
36,Slurpin' Ramen Bar,MlmcOkwaNnxl3Zuk6HsPCQ,5,"Food, service, and atmosphere were all great! 

We were able to put our names on the Yelp waitlist and we were seated immediately when we arrived.

Our...",2019-04-07 21:20:13
37,Slurpin' Ramen Bar,MlmcOkwaNnxl3Zuk6HsPCQ,4,"Slurpin' Ramen Bar is a solid choice when you're craving ramen, just be prepared to face the consequences of a high volume restaurant. 

The food is great...",2019-04-08 21:56:29
38,Slurpin' Ramen Bar,MlmcOkwaNnxl3Zuk6HsPCQ,3,We here with the old lady and two friends-  I had the regular bowl and had chicken but and spicy but they messed up my order and gave me chasu. I even asked...,2019-04-08 15:23:21
39,The Parker Room,g2ELNNj3M9qOMyo94fxX9Q,5,"I may be tipsy as I write this, but an excellent #lounge #bar with a great happy hour and good #food. Highly recommend! Tacos were excellent. Drinks are...",2019-02-21 19:16:31
40,The Parker Room,g2ELNNj3M9qOMyo94fxX9Q,4,"This is a great spot in Hollywood for happy hour cocktails and small bites. I've been a few times, and each time I've been very satisfied. The drinks are...",2019-03-02 08:58:32
41,The Parker Room,g2ELNNj3M9qOMyo94fxX9Q,5,Parking room is small and intimate. My friend and I stopped by on a Friday after the place next door closed. Sat at the bar and got a cocktail each. They...,2019-01-09 19:40:26
42,Hangari Bajirak Kalguksu,h1R2iKYdm2lwukzMJvJqDw,5,"One of our favorite restaurants in K-town! They have high chairs and the kids love the noodles and soup. We always order the clam kalguksu, chicken...",2019-04-04 16:47:16
43,Hangari Bajirak Kalguksu,h1R2iKYdm2lwukzMJvJqDw,4,"OMG. I just walked back to my hotel room to recuperate from lunch here, one of the most highly rated, authentic Korean restaurants in LA.

Ordered Kimchee...",2019-04-04 13:43:31
44,Hangari Bajirak Kalguksu,h1R2iKYdm2lwukzMJvJqDw,5,This place gets busy! Expect a line on weekends. They were even taking orders outside of the restaurant to expedite the process. Server recommended the...,2019-04-03 18:00:35
45,Perch,K-Fbh2WCHlqR56H9TnfpNA,4,"Parking: There are paid lots $10+ and metered street parking.

Came in on a Saturday for lunch after a half days work and totally forgot it was a...",2019-04-09 00:16:39
46,Perch,K-Fbh2WCHlqR56H9TnfpNA,4,"Birthday brunch held at the Perch is a delicious idea! Definitely make sure to get a reservation, otherwise your wait time might start to resemble a...",2019-04-07 21:37:55
47,Perch,K-Fbh2WCHlqR56H9TnfpNA,2,"Vegan Meal Disappointment!! 

If you're vegan...stick to the cocktail menu!! 

Came here for a bday party last night and the restaurant was told I was...",2019-04-07 07:53:45
48,Pasta Sisters,AIhWsp8yNfKZfaX9d9Yajg,5,"How should I say...lit af?

Been wanting to come here forever and finally made it.

First things first, parking is horrible. I lucked out and found a spot...",2019-04-09 15:45:04
49,Pasta Sisters,AIhWsp8yNfKZfaX9d9Yajg,1,"after ordering $130 of food, it was so disgusting we literally could not eat anything. unpleasant in every way possible. everything tastes like its from a...",2019-03-29 17:59:20
50,Pasta Sisters,AIhWsp8yNfKZfaX9d9Yajg,5,"Upon arriving in LA, we wanted a quick, yummy meal. I researched Italian with high ratings and this place came up. It's not fancy at all, but it's clean and...",2019-03-28 18:42:29
51,A Food Affair,XrPVlXXa4cHLm7qKWFkfCg,5,"Came here for my husbands birthday and it was perfect. Wine recommendation was perfect and all the food was delicious. We had the French onion soup, non...",2019-04-04 21:24:46
52,A Food Affair,XrPVlXXa4cHLm7qKWFkfCg,3,"Good food in a very eclectic little place ,not too confortable but what a treat to be welcomed by the wife and see the husband chef coming to check on you !...",2019-03-26 17:19:48
53,A Food Affair,XrPVlXXa4cHLm7qKWFkfCg,5,"I came here three times in a week and I'm not a high roller. You can bet your bottom dollar there is a good reason.

I reserved a table here for my birthday...",2019-03-22 09:11:37
54,Rascal,N0kzCd-kxaHxdJ1pBbF4iA,5,"Found this quaint place after attending the Justice Awards at the Peterson.
Not being sure where we should go, we found a place on Yelp but landed here...",2019-02-23 13:50:03
55,Rascal,N0kzCd-kxaHxdJ1pBbF4iA,3,I had higher hopes for this place with all the good reviews but overall our experience was pretty mediocre. First parking was hard to find even though it...,2019-02-23 08:40:00
56,Rascal,N0kzCd-kxaHxdJ1pBbF4iA,5,Made a reservation through Yelp and they honored it no problem - had a table for 6 waiting for us when we arrived at 7 PM on a Friday night for my...,2019-02-20 17:37:01
57,Osteria Mamma,rr-hXB0ZqXLzUP97yftp0g,4,Our wonderful waitress was very helpful in pointing out different vegetarian options as well as alternative vegetarian friendly dishes we could request from...,2019-04-07 17:06:09
58,Osteria Mamma,rr-hXB0ZqXLzUP97yftp0g,5,IT'S FANTASTIC. Did it take a little long to get the check at the end? Sure. But this is an ITALIAN place. Sit and relax. That's the Italian way. I brought...,2019-03-23 21:38:59
59,Osteria Mamma,rr-hXB0ZqXLzUP97yftp0g,2,"Before I continue this review, let me just say. My boyfriend and I have gone to this restaurant multiple times over the course of the last 5 years and...",2019-03-10 22:51:08
60,Wurstküche,KQBGm5G8IDkE8LeNY45mbA,5,Need to come back here soon. Today is my second time coming here and these hotdogs are pretty damn good. I never expected them to have the choices they...,2019-03-27 22:37:09
61,Wurstküche,KQBGm5G8IDkE8LeNY45mbA,4,"Beer, sausage, and Belgian-style fries. What more can you ask for?

Honestly my experience with hot dogs has been limited to $1.50 Costco dinners and Fourth...",2019-04-06 00:47:19
62,Wurstküche,KQBGm5G8IDkE8LeNY45mbA,4,"I have so much love for the Arts District and this is just another reason to add to the list.   Vegan sausages and amazing German Beer. 
 It is set up kinda...",2019-03-27 19:34:22
63,Maccheroni Republic,gd6PYDx-leOM97a3MWoO1g,5,"I've had this place bookmarked for a few years, but always ended up dining elsewhere as I prefer restaurants that take reservations.  However, a friend of...",2019-04-01 19:29:13
64,Maccheroni Republic,gd6PYDx-leOM97a3MWoO1g,4,"My friends and I came here for a Saturday lunch at 11:30ish and were surprised to find no line. We took the patio seat outside since it was a nice day, but...",2019-04-07 09:39:02
65,Maccheroni Republic,gd6PYDx-leOM97a3MWoO1g,4,"The food was excellent! I got the spinach tortellini and it was fantastic, like out of this work good. The sage was a nice touch and the sauce was light and...",2019-04-02 20:58:24
66,Cleo,CV0KQ5WpplP2hmzMFtjlgQ,5,"Long overdue review, but here it goes! 

Came here. For my friends birthday dinner 2 years ago, yep it's old one. Was saving the pictures for my food blog...",2019-01-20 11:22:04
67,Cleo,CV0KQ5WpplP2hmzMFtjlgQ,3,"Great atmosphere and decent service. However, for price, dishes were overall too oily and salty for my taste. 

Really wanted to love it more, but after...",2018-12-10 21:04:46
68,Cleo,CV0KQ5WpplP2hmzMFtjlgQ,5,"Couldn't wait for them to reopen!!!!
I have missed this place sooo much. Hope the have been able to keep the excellent staff and crew!",2019-04-02 21:07:29
69,The Little Door,OVYbBxiA-MFNE3wSKlSlgg,5,My husband and I came here last weekend to celebrate our anniversary. My sister was available to baby sit our daughter so we were free to go out. To be...,2019-03-28 02:56:15
70,The Little Door,OVYbBxiA-MFNE3wSKlSlgg,1,This is probably my least favorite place to dine for french food. The food was mediocre at best with other restaurant in the area despite the glowing...,2019-02-19 16:34:56
71,The Little Door,OVYbBxiA-MFNE3wSKlSlgg,5,"I came here recently for a nice dinner with my loved one and LOVED the place. The decor/ambiance is romantic and beautiful without being gaudy, and the...",2019-02-19 09:31:08
72,Han Bat Sul Lung Tang,uzAbw27XQTXTivjgf2bN2w,5,"This place is a K-Town institution! I remember eating here when I was a kid with my grandparents in the 80s! They're still the best! 

I always order the...",2019-04-04 12:00:10
73,Han Bat Sul Lung Tang,uzAbw27XQTXTivjgf2bN2w,5,"Some delicious Sul Lung Tang! It's a traditional Korean Bone broth soup which you can salt to your preference. Add green onions (or not, if you're like me)!...",2019-04-02 11:13:48
74,Han Bat Sul Lung Tang,uzAbw27XQTXTivjgf2bN2w,5,"The service is quite friendly and fast. I can here around a Saturday morning and there was a line at the door, so we had to wait a bit.

You get to choose...",2019-03-25 14:13:57
