Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
HABITAT COFFEE SHOP,3708 N EAGLE ROCK BLVD,LOS ANGELES,CA,90065,95,A
REILLY'S,100 WORLD WAY # 120,LOS ANGELES,CA,90045,92,A
STREET CHURROS,6801 HOLLYWOOD BLVD # 253,LOS ANGELES,CA,90028,93,A
RIO GENTLEMANS CLUB,13124 S FIGUEROA ST,LOS ANGELES,CA,90064,93,A
LE PAIN QUOTIDIEN,13050 SAN VICENTE BLVD STE 114,LOS ANGELES,CA,90049,93,A
TRINITI ECHO PARK,1814 W SUNSET BLVD,LOS ANGELES,CA,90026,94,A
MARCE'S MINI MARKET,4160 S AVALON BLVD,LOS ANGELES,CA,90011,96,A
POLLEN,2100 ECHO PARK AVE,LOS ANGELES,CA,90026,94,A
THE SPOT GRILL,10004 NATIONAL BLVD,LOS ANGELES,CA,90034,93,A
7 ELEVEN #37215A,3330 W FLORENCE AVE,LOS ANGELES,CA,90043,95,A
CPK,100 WORLD WAY # 126,LOS ANGELES,CA,90045,91,A
SMOKE & MORE,10714 S WESTERN AVE #105,LOS ANGELES,CA,90047,97,A
PHO LALA,3500 W 6TH ST STE 226,LOS ANGELES,CA,90020,95,A
ABC DONUTS,3027 N SAN FERNANDO RD UNIT 103,LOS ANGELES,CA,90065,91,A
UPSTAIRS,3707 N CAHUENGA BLVD,LOS ANGELES,CA,91604,95,A
EL POLLO LOCO,5319 W SUNSET BLVD,LOS ANGELES,CA,90027,97,A
POONG NYUN BAKERY,928 S WESTERN AVE STE 109,LOS ANGELES,CA,90006,95,A
CO CO FRESH TEA & JUICE,10912 LE CONTE AVE,LOS ANGELES,CA,90024,91,A
LA SIRENA FISH MARKET,4226 E OLYMPIC BLVD,LOS ANGELES,CA,90023,98,A
MON AMOUR CAFE,927 BROXTON AVE,LOS ANGELES,CA,90024,90,A
SPECIALTY'S CAFE & BAKERY,2121 AVE OF STARS STE #100,LOS ANGELES,CA,90067,94,A
EMC RESTAURANT GROUP LLC,3500 W 6TH ST STE 101,LOS ANGELES,CA,90020,90,A
POPULAR DONUTS,3614 W SLAUSON AVE,LOS ANGELES,CA,90043,90,A
CUSCATLECA BAKERY,2501 W SUNSET BLVD #A,LOS ANGELES,CA,90026,92,A
