,id,name,overall_rating,review_count,address,city,state,zip
0,RVbZaawgEGmto6TxOoVBdQ,Running Goose,4.5,829,1620 N Cahuenga Blvd,Los Angeles,CA,90028
1,fEY0zHaDMfIW3-N__joDKQ,Bestia,4.5,5588,2121 E 7th Pl,Los Angeles,CA,90021
2,DJek3FUewBzMc0gS-Gms9w,The Morrison,4.5,4046,3179 Los Feliz Blvd,Los Angeles,CA,90039
3,7O1ORGY36A-2aIENyaJWPg,Howlin' Ray's,4.5,4872,727 N Broadway,Los Angeles,CA,90012
4,z0zaCVA-p_5xTsyUZrmR0g,République,4.0,4752,624 S La Brea Ave,Los Angeles,CA,90036
5,GPGSBlT_Qivav8vH_d2yOg,Din Tai Fung,4.0,770,10250 Santa Monica Blvd,Los Angeles,CA,90067
6,DrToq9357afdpOyO5w0Y5w,Yup Dduk La,4.5,1853,3603 W 6th St,Los Angeles,CA,90020
7,kdTFcDSl9vAR-btEm1Q2uw,Bao Dim Sum House,4.0,2554,8256 Beverly Blvd,Los Angeles,CA,90048
8,6i7KnRylm4bhPIApDFSVCg,Dave's Hot Chicken,4.5,1735,970 N Western Ave,Los Angeles,CA,90029
9,KtEMG1Aln3vQzte92QJxlw,Genwa Korean BBQ,4.5,2719,5115 Wilshire Blvd,Los Angeles,CA,90036
10,fxeuGYnoRWwm5aGDg1FRJA,Marugame Monzo,4.5,3305,329 E 1st St,Los Angeles,CA,90012
11,qAAoilHU25Qr45FOQlA19g,Kang Ho-dong Baekjeong,4.5,4032,3465 W 6th St,Los Angeles,CA,90020
12,MlmcOkwaNnxl3Zuk6HsPCQ,Slurpin' Ramen Bar,4.5,3564,3500 W 8th St,Los Angeles,CA,90005
13,g2ELNNj3M9qOMyo94fxX9Q,The Parker Room,4.5,156,1358 Vine St,Los Angeles,CA,90028
14,h1R2iKYdm2lwukzMJvJqDw,Hangari Bajirak Kalguksu,4.5,1432,3470 W 6th St,Los Angeles,CA,90020
15,K-Fbh2WCHlqR56H9TnfpNA,Perch,4.0,6699,448 S Hill St,Los Angeles,CA,90013
16,AIhWsp8yNfKZfaX9d9Yajg,Pasta Sisters,4.5,1209,3343 W Pico Blvd,Los Angeles,CA,90019
17,XrPVlXXa4cHLm7qKWFkfCg,A Food Affair,4.5,1188,1513 S Robertson Blvd,Los Angeles,CA,90035
18,N0kzCd-kxaHxdJ1pBbF4iA,Rascal,4.0,704,801 S La Brea Ave,Los Angeles,CA,90036
19,rr-hXB0ZqXLzUP97yftp0g,Osteria Mamma,4.0,1431,5732 Melrose Ave,Los Angeles,CA,90038
20,KQBGm5G8IDkE8LeNY45mbA,Wurstküche,4.0,8026,800 E 3rd St,Los Angeles,CA,90013
21,gd6PYDx-leOM97a3MWoO1g,Maccheroni Republic,4.0,2557,332 S Broadway,Los Angeles,CA,90013
22,CV0KQ5WpplP2hmzMFtjlgQ,Cleo,4.0,1675,1717 Vine St,Los Angeles,CA,90028
23,OVYbBxiA-MFNE3wSKlSlgg,The Little Door,4.0,1972,8164 W 3rd St,Los Angeles,CA,90048
24,uzAbw27XQTXTivjgf2bN2w,Han Bat Sul Lung Tang,4.5,2018,4163 W 5th St,Los Angeles,CA,90020
25,BzmbRSKGs56Yw2w2R12khw,Hoy-Ka Thai Restaurant,4.5,1574,5908 Sunset Blvd,Los Angeles,CA,90028
26,fF8g2rPfFHsX-AMtU7JMjQ,Jokbal 1030,5.0,34,3465 W 6th St,Los Angeles,CA,90020
27,0SerWqGwzNWpTA2RBLVdUg,Sun Nong Dan,4.5,1301,3470 W 6th St,Los Angeles,CA,90020
28,JYGPEUZy4k5ObXGIjcD3DA,Hae Jang Chon Korean BBQ Restaurant,4.0,4536,3821 W 6th St,Los Angeles,CA,90020
29,N05X5dnwzpWvLg7ZRcMtcA,Escala,4.0,1042,3451 W 6th St,Los Angeles,CA,90020
30,mcHP3IfI1b7bXJZKD6PLHA,Angry Birdz,5.0,327,5065 Hollywood Blvd,Los Angeles,CA,90027
31,iSZpZgVnASwEmlq0DORY2A,Daikokuya Little Tokyo,4.0,8074,327 E 1st St,Los Angeles,CA,90012
