,restaurant,restaurant_id,rating,text,time_created
0,Running Goose,RVbZaawgEGmto6TxOoVBdQ,5,"Three things standout when you dine at this place ambience, food, and service. Three things that make the experience wonderful.

Ambience although common...",2019-04-07 03:01:05
1,Running Goose,RVbZaawgEGmto6TxOoVBdQ,3,"I really liked the environment and decor of the restaurant. The outdoor seating had a casual romantic ambiance. Great for dates!

However the food felt...",2019-04-04 21:40:15
2,Running Goose,RVbZaawgEGmto6TxOoVBdQ,5,"Yes, yes, yes! One of my favorite things is getting a bunch of different things and having a few bites of it all and a tapas place really lets you do...",2019-04-04 15:28:44
3,République,z0zaCVA-p_5xTsyUZrmR0g,5,"Every time I eat here it makes me so happy- which is why I go on my birthday every year!
Some complain about parking,  but there's valet and street (and a...",2019-04-06 22:04:03
4,République,z0zaCVA-p_5xTsyUZrmR0g,5,"If anyone ever suggests going here, I'm always IN! This is one of the most delicious spots you can have for brunch and/or lunch in LA, notwithstanding the...",2019-04-03 11:43:46
5,République,z0zaCVA-p_5xTsyUZrmR0g,4,"Finally made it here...parking not great. Uber worked; & my friend parked behind on a side street.

Well; it's beautiful; really nice.... great interior....",2019-04-03 10:45:10
6,Howlin' Ray's,7O1ORGY36A-2aIENyaJWPg,5,"This place is worth it. The wait is long, be prepared (bring a snack). The restaurant itself is small, but if you can sit inside DO IT! We got to sit at the...",2019-04-07 07:46:44
7,Howlin' Ray's,7O1ORGY36A-2aIENyaJWPg,5,"If you do not appreciate and enjoy unhealthy, deep fried, greasy, and powdery foods, this place is not for you!!! I wondered how amazing a chicken sandwich...",2019-04-05 14:55:22
8,Howlin' Ray's,7O1ORGY36A-2aIENyaJWPg,1,"Seriously? Waiting 2 hours for this? Not worth it!!
Chicken Sandwich is okay nothing special.
Wings have no flavor but spicy powder on them.
I regret spent...",2019-04-04 15:59:01
9,Yup Dduk La,DrToq9357afdpOyO5w0Y5w,5,"I don't understand how a mild can be so very spicy. I'm not creative enough to imagine how painful the original might be, but if you're lucky enough to be...",2019-04-06 13:17:00
10,Yup Dduk La,DrToq9357afdpOyO5w0Y5w,2,"After too much shopping and walking, crashed again mid-day, took a nap, then decided to have dinner way-late.

Decided to just walk across my hotel to this...",2019-04-08 23:50:43
11,Yup Dduk La,DrToq9357afdpOyO5w0Y5w,5,Spicy delicious goodness in my mouth. Satisfying burn after every bite was what I needed in my short 3 day LA trip. Our timing upon arrival was perfect...,2019-04-03 14:10:17
12,Dave's Hot Chicken,6i7KnRylm4bhPIApDFSVCg,5,"This place will satisfy your chicken cravings - you know the ones. If you like spice, it can satisfy those too. 

Expect a line (and a food coma afterwards...",2019-04-07 09:42:06
13,Dave's Hot Chicken,6i7KnRylm4bhPIApDFSVCg,5,"Worth the hype!!! I love chicken and I love spice!
I love spicy chicken!!! This place is top notch juicy crispy chicken with stages of spice for all levels....",2019-04-05 19:35:51
14,Dave's Hot Chicken,6i7KnRylm4bhPIApDFSVCg,4,Dave's is great. This much is obvious because of the line that you'll no doubt run into when you get here. Be prepared to wait for a bit (or more than a...,2019-04-05 17:23:38
15,The Morrison,DJek3FUewBzMc0gS-Gms9w,5,My family really enjoyed our meal here. Love the atmosphere and the establishment does a great job of making kids feel welcome in a place that traditionally...,2019-04-05 07:28:21
16,The Morrison,DJek3FUewBzMc0gS-Gms9w,4,"I was looking for the best restaurant in Atwater Village on yelp and the Morrison was the top hit with 4,000+ reviews and a 4.5 star rating. That's pretty...",2019-04-09 08:01:58
17,The Morrison,DJek3FUewBzMc0gS-Gms9w,5,The Morrison consistently serves excellently executed bar food with terrific service. Even simple things like the french fries are done with care.  The...,2019-04-02 12:56:00
18,Slurpin' Ramen Bar,MlmcOkwaNnxl3Zuk6HsPCQ,5,"Food, service, and atmosphere were all great! 

We were able to put our names on the Yelp waitlist and we were seated immediately when we arrived.

Our...",2019-04-07 21:20:13
19,Slurpin' Ramen Bar,MlmcOkwaNnxl3Zuk6HsPCQ,4,"Slurpin' Ramen Bar is a solid choice when you're craving ramen, just be prepared to face the consequences of a high volume restaurant. 

The food is great...",2019-04-08 21:56:29
20,Slurpin' Ramen Bar,MlmcOkwaNnxl3Zuk6HsPCQ,3,We here with the old lady and two friends-  I had the regular bowl and had chicken but and spicy but they messed up my order and gave me chasu. I even asked...,2019-04-08 15:23:21
21,Marugame Monzo,fxeuGYnoRWwm5aGDg1FRJA,5,"Hello my Yelpies,

Came here for the first time even though I've heard so many good things about this place for many years. So glad I finally get to try it....",2019-04-03 11:55:38
22,Marugame Monzo,fxeuGYnoRWwm5aGDg1FRJA,3,"Went there a few Days ago.

I ordered curry udon and mini kakiage-don during lunch.  First thing I noticed was...the ladle(!) in the udon bowl.  I knew we...",2019-04-08 12:28:15
23,Marugame Monzo,fxeuGYnoRWwm5aGDg1FRJA,4,This place has some solid udon noodles. Its especially cool cause you can see them make it fresh in the kitchen! However I gave it a four out of five...,2019-04-03 15:30:27
24,Hangari Bajirak Kalguksu,h1R2iKYdm2lwukzMJvJqDw,5,"One of our favorite restaurants in K-town! They have high chairs and the kids love the noodles and soup. We always order the clam kalguksu, chicken...",2019-04-04 16:47:16
25,Hangari Bajirak Kalguksu,h1R2iKYdm2lwukzMJvJqDw,4,"OMG. I just walked back to my hotel room to recuperate from lunch here, one of the most highly rated, authentic Korean restaurants in LA.

Ordered Kimchee...",2019-04-04 13:43:31
26,Hangari Bajirak Kalguksu,h1R2iKYdm2lwukzMJvJqDw,5,This place gets busy! Expect a line on weekends. They were even taking orders outside of the restaurant to expedite the process. Server recommended the...,2019-04-03 18:00:35
27,Bestia,fEY0zHaDMfIW3-N__joDKQ,5,"5/5! Cannot recommend this place enough and have gabbed about to anyone who will listen to me!

My friend and I stopped in a couple of weeks ago to...",2019-04-08 16:46:35
28,Bestia,fEY0zHaDMfIW3-N__joDKQ,4,My friends and I (party of 3) got here around 9 PM. One of my friend who lives in LA recommended and took us on a last minute dinner plan. It is recommended...,2019-04-06 21:14:55
29,Bestia,fEY0zHaDMfIW3-N__joDKQ,1,Before I give my review let me start with one of the most annoying scenarios I have ever encountered while dining in a restaurant. When we were given our...,2019-04-05 09:31:17
30,Din Tai Fung,GPGSBlT_Qivav8vH_d2yOg,5,"Definitely order braised beef noodle soup and pork xlb (both $11.50).

BRAISED BEEF NOODLE SOUP (5/5)- best I've ever tasted (and I'm from Houston). Broth...",2019-04-08 07:31:33
31,Din Tai Fung,GPGSBlT_Qivav8vH_d2yOg,5,"TAIWAN IN CENTURY CITY
After Eataly my favorite eatery in Century City
I love the tofu glass noodle soup ~ seaweed tofu appetizer vegetarian noodles and...",2019-04-07 19:48:01
32,Din Tai Fung,GPGSBlT_Qivav8vH_d2yOg,5,"Wow wow wow. I've been wanting to try this place for a couple of years now, and I finally got the chance to after visiting Cali in March. This place was...",2019-04-06 08:39:41
33,BROKEN MOUTH | Lee's Homestyle,CcqraT0cuGKYEcZ1ri_kxg,5,Nestled somewhere in the corner of fashion district.  This place definitely lives up to its' 5star rating. This is no hype!! Legit delicious. Explosion of...,2019-04-05 13:19:04
34,BROKEN MOUTH | Lee's Homestyle,CcqraT0cuGKYEcZ1ri_kxg,5,"I'm gonna start with the negatives because I'm giving them 5 stars anyways.

Parking was a bit tough (around 11:30am on a Wednesday) and I did not realize...",2019-04-03 15:23:04
35,BROKEN MOUTH | Lee's Homestyle,CcqraT0cuGKYEcZ1ri_kxg,5,"I wish they had their mac salad today! Haha but no biggie it's my first time anyways so whatever I try is new.

I got the Beef plate lunch ($13.50). Comes...",2019-04-02 11:54:12
36,Han Bat Sul Lung Tang,uzAbw27XQTXTivjgf2bN2w,5,"This place is a K-Town institution! I remember eating here when I was a kid with my grandparents in the 80s! They're still the best! 

I always order the...",2019-04-04 12:00:10
37,Han Bat Sul Lung Tang,uzAbw27XQTXTivjgf2bN2w,5,"Some delicious Sul Lung Tang! It's a traditional Korean Bone broth soup which you can salt to your preference. Add green onions (or not, if you're like me)!...",2019-04-02 11:13:48
38,Han Bat Sul Lung Tang,uzAbw27XQTXTivjgf2bN2w,5,"The service is quite friendly and fast. I can here around a Saturday morning and there was a line at the door, so we had to wait a bit.

You get to choose...",2019-03-25 14:13:57
39,Met Her At A Bar,h2u-coGd8WWClyU3b7jf8w,5,A cafe based on the concept behind of the owners'  love story and how they met! Very hipster and trendy looking on the inside... what you'd expect to see in...,2019-03-25 20:06:44
40,Met Her At A Bar,h2u-coGd8WWClyU3b7jf8w,4,"I got to know about met her at a bar through a coworker because he brought their toasts for our Friday breakfast and it was sooooo good. 

I wanted to bring...",2019-04-01 10:02:17
41,Met Her At A Bar,h2u-coGd8WWClyU3b7jf8w,5,This place was coming up a lot in my brunch searches so I decided to check it out. Came in for brunch on a Sunday and found 2 hour free parking about 2...,2019-03-23 10:43:58
42,Bao Dim Sum House,kdTFcDSl9vAR-btEm1Q2uw,5,"I'm not Asian but this place seemed pretty cool. There were many Chinese patron,  overall mixed crowd. 

I love the fact that they have pictures for all the...",2019-03-30 09:12:15
43,Bao Dim Sum House,kdTFcDSl9vAR-btEm1Q2uw,3,"I've been meaning to try this place forever and my bf brought me here for dinner a couple weeks ago.

The decor is super cheesy, like a Chinese restaurant...",2019-04-08 13:14:26
44,Bao Dim Sum House,kdTFcDSl9vAR-btEm1Q2uw,4,Loved this place. Came here hung over one day and snagged two seats at the bar. While I usually prefer dim sum with the carts this place is great. The food...,2019-04-04 21:32:51
45,Pasta Sisters,AIhWsp8yNfKZfaX9d9Yajg,5,"Upon arriving in LA, we wanted a quick, yummy meal. I researched Italian with high ratings and this place came up. It's not fancy at all, but it's clean and...",2019-03-28 18:42:29
46,Pasta Sisters,AIhWsp8yNfKZfaX9d9Yajg,1,"after ordering $130 of food, it was so disgusting we literally could not eat anything. unpleasant in every way possible. everything tastes like its from a...",2019-03-29 17:59:20
47,Pasta Sisters,AIhWsp8yNfKZfaX9d9Yajg,3,"Not the best experience, unfortunately. I was so excited to try this place because it's right down the street from where I live and I love pasta. I put my...",2019-03-26 10:43:22
48,Yuko Kitchen,23Qrcz2i9e2e8MstUIIO0A,5,I stumbled upon Yuko Kitchen this past weekend as it was right next door to the pilates studio that I took class at. I was craving sushi and decided to give...,2019-04-07 14:25:18
49,Yuko Kitchen,23Qrcz2i9e2e8MstUIIO0A,5,Yuko Kitchen provided such a warm and pleasant experience during my lunchtime pickup. The spot may be difficult to find as it is on the street adjacent to...,2019-04-04 15:12:33
50,Yuko Kitchen,23Qrcz2i9e2e8MstUIIO0A,2,"This place is definitely yummy. BUT! So dirty! Their bathroom smells like something died in there and hasn't been removed. 
I honestly don't know how the...",2019-03-08 16:13:59
51,Genwa Korean BBQ,KtEMG1Aln3vQzte92QJxlw,5,"I love this place. There are so many panchans. Since my hubby is korean, he's pretty picky about the quality of meat we get at korean barbecues. He was very...",2019-04-09 10:10:34
52,Genwa Korean BBQ,KtEMG1Aln3vQzte92QJxlw,3,"I went there for celebrating my birthday with 7 of my friends and we all feel that the quod services go downtown quite a lot.

First of all, they talked us...",2019-04-08 22:54:59
53,Genwa Korean BBQ,KtEMG1Aln3vQzte92QJxlw,4,"This was a different experience for me. My friends and I eat Korean bbq often but we've never eaten at a place like this. To start, everything on the menu...",2019-03-20 21:36:27
54,Sun Nong Dan,0SerWqGwzNWpTA2RBLVdUg,5,"Overall: If you're looking for some great authentic Korean food and not kbbq, this is definitely the spot. Definitely one of my favorite spots in all of Los...",2019-04-01 18:50:52
55,Sun Nong Dan,0SerWqGwzNWpTA2RBLVdUg,3,"Ordered the Galbi Jjim.

Food: 4/5
Price: 2/5
Service: 2/5
Environment: 2/5

Food- Rib was tasty; however, didn't like the rice cakes. They didn't use to...",2019-04-08 10:48:41
56,Sun Nong Dan,0SerWqGwzNWpTA2RBLVdUg,5,I went here because of the hype and this place truly lives up to the hype. If you love meat and Korean flavors don't hesitate and make an effort to come...,2019-03-30 18:39:18
57,Angry Birdz,mcHP3IfI1b7bXJZKD6PLHA,5,"Food was great... 

Got the hot and it was HOT..!! Lol 
The mild/ medium was a little hot for a few ppl too.. 

Nice place clean friendly staff .. 

Highly...",2019-04-06 23:44:29
58,Angry Birdz,mcHP3IfI1b7bXJZKD6PLHA,5,"Dank AF! We live right around the corner, and this place adds so much value to our neighborhood. Love that it's open late. My husband stops in after work,...",2019-04-06 00:53:54
59,Angry Birdz,mcHP3IfI1b7bXJZKD6PLHA,5,"They're hot chicken is amazing 
Great service 
Clean environment 
Friendly staff

Definitely recommend!",2019-04-03 22:01:49
60,Kang Ho-dong Baekjeong,qAAoilHU25Qr45FOQlA19g,5,"This place definitely lives up to the hype! 

My personal standard for Korean BBQ is Quarters, but this place gives them a run for their money.

Much like...",2019-04-08 12:27:40
61,Kang Ho-dong Baekjeong,qAAoilHU25Qr45FOQlA19g,3,"The food here is pretty good but in terms of the  meat quality offered, there are many better options in LA.

If you come in here with the mind to munch on...",2019-04-08 23:08:18
62,Kang Ho-dong Baekjeong,qAAoilHU25Qr45FOQlA19g,4,The location is a little difficult to find. The valet parking is forbthe entire complex but since the square has many businesses it gets full pretty fast....,2019-04-08 20:13:45
63,Crispy School,SqWYLEwZxJY7Et8w24lzjw,5,Gonna cut to the chase. This place is SO GOOD. We had the Chicken Burger and the Sunnyburst Sandwich with Fries. The Chicken Burger was crispy and juicy in...,2019-03-31 12:28:31
64,Crispy School,SqWYLEwZxJY7Et8w24lzjw,5,"Had the Sunnyburst Sandwich. It was surprisingly good. More of a breakfast sandwich but good nonetheless.
Will definitely come back to try some other stuff...",2019-03-21 12:49:57
65,Crispy School,SqWYLEwZxJY7Et8w24lzjw,5,Had the sunnyburst sandwich and it was delicious. The first thing you notice is the panko coated fried egg its crispy on the outside bit the egg is still...,2019-04-05 09:38:21
66,A Food Affair,XrPVlXXa4cHLm7qKWFkfCg,5,"Came here for my husbands birthday and it was perfect. Wine recommendation was perfect and all the food was delicious. We had the French onion soup, non...",2019-04-04 21:24:46
67,A Food Affair,XrPVlXXa4cHLm7qKWFkfCg,3,"Good food in a very eclectic little place ,not too confortable but what a treat to be welcomed by the wife and see the husband chef coming to check on you !...",2019-03-26 17:19:48
68,A Food Affair,XrPVlXXa4cHLm7qKWFkfCg,5,"I came here three times in a week and I'm not a high roller. You can bet your bottom dollar there is a good reason.

I reserved a table here for my birthday...",2019-03-22 09:11:37
69,LA Brisket,6RDro8iSto0thExOPC3SIw,5,Skip the line at Howlin' Rays and head across the street! Seriously. I'm from Texas and we stumbled into this place and it was the best brisket fries I've...,2019-04-08 14:42:58
70,LA Brisket,6RDro8iSto0thExOPC3SIw,5,"this sandwich shop is very new and I am already impressed with it. The sandwiches are so delicious and tasty.

They are excelling in service compared to all...",2019-04-05 01:53:54
71,LA Brisket,6RDro8iSto0thExOPC3SIw,5,"Must try. No words needed.

I tried their loaded fries with brisket. Fries was decent, but the stuff that came with it, the slaws, mushroom, caramalized...",2019-04-02 12:26:10
72,Eggslut,b4SH4SbQUJfXxh6hNkF0wg,5,"Quick take: delicious buttery egg goodness


I ordered the Fairfax with avocado. The cheese, eggs, and avocado melt together in the most perfect way. The...",2019-04-06 21:59:03
